date,zip,county,ROGSI,NULV,NUDL
3/8/2020,Z001,C01,7219.8106,3.5402,0.6234
3/8/2020,Z002,C02,7050.2433,2.8333,0.3333
4/19/2020,Z001,C01,4419.3888,3.2662,0.1092
4/19/2020,Z002,C02,2002.4581,2,0
5/22/2020,Z001,C01,13999.0664,5.7218,1.2782
5/22/2020,Z002,C02,39169.212,6.3,2
4/23/2020,Z001,C01,11947.8473,5.6531,0.9414
4/23/2020,Z002,C02,2645.7782,9,0
4/8/2020,Z001,C01,6115.6375,4.5065,0.3189
5/23/2020,Z001,C01,14536.6081,5.7688,1.3116
5/23/2020,Z002,C02,5901.0824,4.75,0
3/7/2020,Z001,C01,6836.7062,3.4516,0.6396
3/7/2020,Z002,C02,45755.554,5.2,1
5/15/2020,Z001,C01,9146.1977,4.133,0.8542
5/15/2020,Z002,C02,0,1,0
6/4/2020,Z001,C01,15884.3625,5.7635,1.253
6/4/2020,Z002,C02,4136.8056,1.3333,0
6/1/2020,Z001,C01,6882.5019,3.7835,0.6004
6/1/2020,Z002,C02,16572.0237,5,0
4/29/2020,Z001,C01,5824.2682,3.3323,0.5278
4/29/2020,Z002,C02,9081.8894,2.75,0.25
5/3/2020,Z001,C01,3787.0626,2.8761,0.4773
5/3/2020,Z002,C02,0,1,0
3/18/2020,Z001,C01,14624.593,6.7755,1.604
3/18/2020,Z002,C02,0,1,0
3/30/2020,Z001,C01,6158.6533,3.4622,0.4548
3/30/2020,Z002,C02,135024.0047,15,1
4/14/2020,Z001,C01,3725.2938,2.7767,0.1209
4/14/2020,Z002,C02,0,1,0
6/11/2020,Z001,C01,18182.1093,6.0451,1.5034
6/11/2020,Z002,C02,20486.5518,3.25,0
4/2/2020,Z001,C01,6177.6636,3.8625,0.5356
5/20/2020,Z001,C01,12307.2023,5.0068,1.0466
5/20/2020,Z002,C02,10798.8739,2.1818,1.1818
4/4/2020,Z001,C01,3735.1332,3.2231,0.253
4/4/2020,Z002,C02,69294.4475,14,1
5/30/2020,Z001,C01,6476.1274,3.4841,0.5518
5/30/2020,Z002,C02,25791.8886,4.8,0.4
5/21/2020,Z001,C01,17429.2964,6.431,1.4952
5/21/2020,Z002,C02,2771.5936,1.2222,0.2222
3/13/2020,Z001,C01,3200.4389,2.1847,0.2813
3/13/2020,Z002,C02,4253.2944,1.6667,0
4/18/2020,Z001,C01,3856.73,2.7962,0.1056
4/18/2020,Z002,C02,8734.1041,2,0
3/28/2020,Z001,C01,5412.9415,3.6883,0.2394
3/28/2020,Z002,C02,6374.3497,1.5,0
6/5/2020,Z001,C01,13948.0042,5.5256,1.1968
6/5/2020,Z002,C02,11221.2884,4,1
3/23/2020,Z001,C01,5255.6206,3.6206,0.2569
5/7/2020,Z001,C01,12039.3174,5.2823,0.9906
5/7/2020,Z002,C02,6571.5486,2.4,0.6
3/4/2020,Z001,C01,10279.8442,3.9314,0.784
3/4/2020,Z002,C02,927.7567,1.75,0.5
3/15/2020,Z001,C01,4833.3989,3.2156,0.4557
3/15/2020,Z002,C02,13221.8029,2.4286,0.2857
5/16/2020,Z001,C01,4814.2429,3.1177,0.7722
5/16/2020,Z002,C02,45833.8224,13.5,2
6/6/2020,Z001,C01,13242.819,4.887,0.7138
6/6/2020,Z002,C02,41593.6421,5,1.3333
5/2/2020,Z001,C01,4399.255,3.2351,0.5955
5/2/2020,Z002,C02,530.3972,2.5,0
5/25/2020,Z001,C01,9440.1022,4.9895,0.7871
5/25/2020,Z002,C02,9229.7319,4.2,1
5/26/2020,Z001,C01,9180.6823,4.1745,0.6987
5/26/2020,Z002,C02,11934.9675,2,0.5
6/7/2020,Z001,C01,5053.9271,3.0646,0.3549
6/7/2020,Z002,C02,49025.7241,5.5,0
3/25/2020,Z001,C01,5227.1869,3.4969,0.2359
4/12/2020,Z001,C01,4062.9562,3.9261,0.1268
4/28/2020,Z001,C01,13186.0521,5.7551,1.0215
4/28/2020,Z002,C02,2.3887,1,0
6/9/2020,Z001,C01,15410.8993,5.2,1.0961
6/9/2020,Z002,C02,6306.5891,1.4,0.8
6/13/2020,Z001,C01,14623.4135,5.8298,1.4331
6/13/2020,Z002,C02,32702.4234,7.3333,0.8889
3/22/2020,Z001,C01,4069.9257,3.3991,0.2019
3/22/2020,Z002,C02,3316.4485,1.75,0
5/14/2020,Z001,C01,11189.7715,4.6054,0.87
5/14/2020,Z002,C02,161.2025,1.1,0.7
3/24/2020,Z001,C01,3781.2605,2.7658,0.3983
3/24/2020,Z002,C02,0,1,0
3/6/2020,Z001,C01,7597.6854,3.7233,0.7641
3/6/2020,Z002,C02,10592.4884,2,0.5
5/29/2020,Z001,C01,12480.6684,5.3993,1.0218
5/29/2020,Z002,C02,32903.1059,8.8333,1.6667
6/17/2020,Z001,C01,15465.9848,5.6026,1.2773
6/17/2020,Z002,C02,25075.4724,3,1
5/11/2020,Z001,C01,11496.3118,5.167,0.9807
5/11/2020,Z002,C02,62300.3478,13,1.5
3/14/2020,Z001,C01,2081.3378,1.9227,0.2379
3/14/2020,Z002,C02,3875.0054,1.5,0
4/16/2020,Z001,C01,4353.1587,2.8556,0.1106
4/16/2020,Z002,C02,0,1,0
5/17/2020,Z001,C01,5231.4513,3.3811,0.7591
5/17/2020,Z002,C02,22188.3582,2.5,0.8333
