date,zip,county,ROGSI,NULV,NUDL
3/16/2020,Z001,C01,6691.089,3.6072,0.6886
3/16/2020,Z002,C02,10872.5736,3.375,0.125
4/9/2020,Z001,C01,4085.142,3.3156,0.1996
4/9/2020,Z002,C02,4143.2635,2,0
3/10/2020,Z001,C01,8736.0426,3.6501,0.6863
3/10/2020,Z002,C02,23028.3701,5.8,0.6
3/17/2020,Z001,C01,13361.0777,5.4794,1.0932
3/17/2020,Z002,C02,15215.691,3.75,0
4/21/2020,Z001,C01,9571.5335,4.9297,0.7575
4/21/2020,Z002,C02,9629.8663,1.6667,0.3333
6/3/2020,Z001,C01,18315.8813,6.9619,1.656
6/3/2020,Z002,C02,4671.6238,1.3333,0.1667
6/14/2020,Z001,C01,14121.3069,5.1985,1.2785
6/14/2020,Z002,C02,58274.4373,14.5,0.75
3/26/2020,Z001,C01,5850.3402,3.6131,0.3122
3/26/2020,Z002,C02,0,1,0
6/8/2020,Z001,C01,9929.0965,3.6902,0.7374
6/8/2020,Z002,C02,30546.2995,4.3333,2
5/8/2020,Z001,C01,11140.0386,4.9439,0.887
5/8/2020,Z002,C02,60666.8989,12.5,3
4/5/2020,Z001,C01,3095.844,3.2292,0.1932
3/2/2020,Z001,C01,7291.2155,3.5298,0.684
3/2/2020,Z002,C02,12883.4631,1.8,0.8
5/24/2020,Z001,C01,8445.2846,4.8213,0.9064
5/24/2020,Z002,C02,35870.9554,10,1.4
5/10/2020,Z001,C01,7573.2287,4.2226,0.5992
5/10/2020,Z002,C02,23731.0626,7.5,0.25
5/5/2020,Z001,C01,12705.9363,5.3761,1.0566
5/5/2020,Z002,C02,2249.3409,6,0
4/30/2020,Z001,C01,3770.5238,3.0995,0.3801
4/30/2020,Z002,C02,0,1,0
3/9/2020,Z001,C01,8097.0469,3.8219,0.6984
3/9/2020,Z002,C02,46532.4761,4.6667,1.3333
3/31/2020,Z001,C01,6306.6125,3.7632,0.5349
6/2/2020,Z001,C01,8088.5369,3.8935,0.6843
6/2/2020,Z002,C02,861.1904,1.4286,0
4/25/2020,Z001,C01,7133.7801,5.2429,0.6617
4/25/2020,Z002,C02,0,1,1
3/20/2020,Z001,C01,5792.048,3.5223,0.5731
3/20/2020,Z002,C02,81476.6754,8.75,1
4/22/2020,Z001,C01,9807.0155,5.313,0.8244
4/22/2020,Z002,C02,0,1,0
5/4/2020,Z001,C01,12854.295,5.6421,1.127
5/4/2020,Z002,C02,1359.2795,5,0.5
5/13/2020,Z001,C01,6201.814,2.9658,0.556
5/13/2020,Z002,C02,23567.1891,1.3333,0
4/1/2020,Z001,C01,7221.7165,4.2328,0.6309
4/1/2020,Z002,C02,3419.2909,10,0
4/6/2020,Z001,C01,5639.1628,3.912,0.4759
4/26/2020,Z001,C01,4945.0716,4.4164,0.4665
4/26/2020,Z002,C02,46462.6822,16.5,0
3/11/2020,Z001,C01,3399.0056,2.0981,0.2605
3/1/2020,Z001,C01,5664.5284,3.3169,0.5359
3/1/2020,Z002,C02,22399.6912,4.6,1.4
4/15/2020,Z001,C01,4327.1154,3.1143,0.1209
4/15/2020,Z002,C02,0,1,0
4/17/2020,Z001,C01,4364.0072,3.5297,0.1622
4/17/2020,Z002,C02,0,1,0
4/20/2020,Z001,C01,4630.9048,3.0908,0.4411
4/20/2020,Z002,C02,0,1,0
5/1/2020,Z001,C01,7379.448,3.6996,0.667
5/1/2020,Z002,C02,1784.9467,1.5,0.5
3/3/2020,Z001,C01,7881.9315,3.5273,0.75
3/3/2020,Z002,C02,53209.8248,4.6667,1
6/10/2020,Z001,C01,10505.9412,4.3319,0.8063
6/10/2020,Z002,C02,12977.9748,3.5,0.5
4/3/2020,Z001,C01,5071.5333,3.457,0.4739
4/3/2020,Z002,C02,41357.6942,4.5,2
4/10/2020,Z001,C01,5099.9104,3.4595,0.3028
4/10/2020,Z002,C02,0,1,0
5/31/2020,Z001,C01,4280.7439,3.2236,0.482
5/31/2020,Z002,C02,5659.4278,1.75,0
4/27/2020,Z001,C01,11795.0953,5.6409,0.9334
4/27/2020,Z002,C02,3487.2276,2.5,0.75
5/28/2020,Z001,C01,17662.528,6.0687,1.2757
5/28/2020,Z002,C02,5971.0517,4,1.5714
3/21/2020,Z001,C01,6347.0985,4.0532,0.3333
3/21/2020,Z002,C02,27432.1389,5,0.125
3/19/2020,Z001,C01,7722.369,4.6815,0.5347
3/19/2020,Z002,C02,13194.477,1.6667,0.2222
5/12/2020,Z001,C01,6908.3323,3.6368,0.6985
5/12/2020,Z002,C02,10386.7591,2,1
6/15/2020,Z001,C01,13363.0991,5.1548,1.0169
6/15/2020,Z002,C02,72150.7724,9,4
5/9/2020,Z001,C01,13272.4278,5.6633,1.3492
5/9/2020,Z002,C02,31113.8129,7.25,1.0833
5/19/2020,Z001,C01,9904.0461,4.4133,0.9621
5/19/2020,Z002,C02,15611.6709,7.25,2.75
3/5/2020,Z001,C01,9409.3286,4.1143,0.8701
3/29/2020,Z001,C01,3866.6264,3.612,0.2136
3/29/2020,Z002,C02,0,1,0
4/24/2020,Z001,C01,10409.1551,5.3537,0.9027
4/24/2020,Z002,C02,0,1,0
6/16/2020,Z001,C01,14415.9935,5.8587,1.2136
6/16/2020,Z002,C02,8974.1667,2.3333,0
5/18/2020,Z001,C01,9535.5839,4.326,0.9044
5/27/2020,Z001,C01,17124.8208,5.9377,1.3276
5/27/2020,Z002,C02,21024.6499,5.25,0.25
3/12/2020,Z001,C01,3635.405,2.1201,0.265
3/12/2020,Z002,C02,14740.4946,1.8,0
3/27/2020,Z001,C01,5042.6959,3.6846,0.4772
4/11/2020,Z001,C01,4389.6997,4.0218,0.2137
4/11/2020,Z002,C02,77446.2778,21,0
4/7/2020,Z001,C01,4943.0214,3.749,0.4796
4/7/2020,Z002,C02,27336.7617,6.75,0.5
6/12/2020,Z001,C01,25664.0511,7.2008,2.0561
6/12/2020,Z002,C02,20013.7246,5.25,0.75
4/13/2020,Z001,C01,5767.8519,4.3849,0.2807
4/13/2020,Z002,C02,6216.5746,1.5,0.5
5/6/2020,Z001,C01,8122.1168,3.6342,0.6243
5/6/2020,Z002,C02,22655.4702,3,2
3/8/2020,Z003,C03,10608.3115,3.8143,0.4803
3/8/2020,Z004,C03,13615.0067,3.9563,0.48
3/8/2020,Z005,C04,9553.7692,3.5533,0.5998
4/19/2020,Z003,C03,3002.9419,2.879,0.0893
4/19/2020,Z004,C03,4835.2932,3.1663,0.2084
4/19/2020,Z005,C04,3694.8485,3.01,0.3058
5/22/2020,Z003,C03,20078.0551,6.8217,1.1022
5/22/2020,Z004,C03,25830.6036,7.4466,1.4912
5/22/2020,Z005,C04,9496.9685,4.6756,1.4612
4/23/2020,Z003,C03,12775.7297,5.2059,0.7709
4/23/2020,Z004,C03,20033.7041,6.5489,0.9011
4/23/2020,Z005,C04,10482.7438,5.6341,1.1062
4/8/2020,Z003,C03,8522.9945,4.6617,0.2718
4/8/2020,Z004,C03,9432.9765,4.2974,0.372
4/8/2020,Z005,C04,5576.2543,3.7928,0.4981
5/23/2020,Z003,C03,17760.0355,5.8422,1.0205
5/23/2020,Z004,C03,25568.2151,6.9377,1.3289
5/23/2020,Z005,C04,11259.6037,4.8228,1.4837
3/7/2020,Z003,C03,7578.6516,3.5506,0.5119
3/7/2020,Z004,C03,11491.854,4.0496,0.4747
3/7/2020,Z005,C04,5991.5334,3.6711,0.5969
5/15/2020,Z003,C03,10953.863,4.3451,0.8307
5/15/2020,Z004,C03,18847.4074,5.7065,0.9783
5/15/2020,Z005,C04,9527.7314,5.0598,1.136
6/4/2020,Z003,C03,20028.7032,6.5093,0.9614
6/4/2020,Z004,C03,28824.6708,7.2569,1.4882
6/4/2020,Z005,C04,12775.2862,5.9507,1.4941
6/1/2020,Z003,C03,8055.8888,4.629,0.3979
6/1/2020,Z004,C03,10879.8783,4.6685,0.4334
6/1/2020,Z005,C04,5857.9553,4.1706,0.6189
4/29/2020,Z003,C03,7975.8772,4.1621,0.2707
4/29/2020,Z004,C03,7957.1751,3.7589,0.3714
4/29/2020,Z005,C04,5131.7983,3.1578,0.5375
5/3/2020,Z003,C03,4666.0894,3.0782,0.3656
5/3/2020,Z004,C03,5379.1706,3.3718,0.3087
5/3/2020,Z005,C04,2980.47,2.939,0.4049
3/18/2020,Z003,C03,22667.4432,7.451,1.3562
3/18/2020,Z004,C03,27535.923,7.8639,1.4308
3/18/2020,Z005,C04,15761.375,6.5289,1.9323
3/30/2020,Z003,C03,7725.2345,3.7689,0.3696
3/30/2020,Z004,C03,11949.7555,3.8667,0.3194
3/30/2020,Z005,C04,6143.5188,3.4816,0.4527
4/14/2020,Z003,C03,3906.3061,2.6857,0.0864
4/14/2020,Z004,C03,4367.5024,2.6,0.1271
4/14/2020,Z005,C04,3843.8362,2.6719,0.2762
6/11/2020,Z003,C03,21402.3821,6.4663,1.0556
6/11/2020,Z004,C03,29928.3148,7.4063,1.5788
6/11/2020,Z005,C04,10017.8249,4.3317,1.3359
4/2/2020,Z003,C03,7974.055,4.0966,0.508
4/2/2020,Z004,C03,11675.7394,4.736,0.509
4/2/2020,Z005,C04,6623.0863,3.6959,0.6196
5/20/2020,Z003,C03,13248.4857,5.4639,0.794
5/20/2020,Z004,C03,21009.1016,6.2702,1.0474
5/20/2020,Z005,C04,8308.945,4.0958,1.1266
4/4/2020,Z003,C03,3890.2095,2.8956,0.3626
4/4/2020,Z004,C03,5763.3947,3.4979,0.2165
4/4/2020,Z005,C04,3765.1617,3.0198,0.3743
5/30/2020,Z003,C03,6900.8895,3.98,0.3698
5/30/2020,Z004,C03,8988.8885,4.2145,0.4024
5/30/2020,Z005,C04,4159.7813,3.3474,0.5494
5/21/2020,Z003,C03,19464.145,6.2875,1.1398
5/21/2020,Z004,C03,29861.6299,7.8129,1.6784
5/21/2020,Z005,C04,12782.7413,5.0176,1.5407
3/13/2020,Z003,C03,3356.8689,1.9702,0.3159
3/13/2020,Z004,C03,6185.4729,2.2582,0.1469
3/13/2020,Z005,C04,4058.1831,2.4486,0.2497
4/18/2020,Z003,C03,3926.4731,2.8289,0.0635
4/18/2020,Z004,C03,5012.8046,2.9009,0.1935
4/18/2020,Z005,C04,3667.9132,2.7589,0.3034
3/28/2020,Z003,C03,5343.4403,3.3386,0.3161
3/28/2020,Z004,C03,9352.8036,3.8704,0.2327
3/28/2020,Z005,C04,4373.8734,3.3799,0.382
6/5/2020,Z003,C03,19622.9031,6.5006,0.971
6/5/2020,Z004,C03,27586.6659,7.2212,1.3645
6/5/2020,Z005,C04,11204.4257,4.5258,1.4234
3/23/2020,Z003,C03,5822.9179,3.6057,0.3845
3/23/2020,Z004,C03,8633.1205,3.8869,0.2622
3/23/2020,Z005,C04,4472.1042,3.1536,0.4191
5/7/2020,Z003,C03,20555.1552,7.5172,0.9644
5/7/2020,Z004,C03,26976.7693,7.9634,1.3423
5/7/2020,Z005,C04,12711.7119,5.3766,1.2973
3/4/2020,Z003,C03,11998.014,4.1559,0.5708
3/4/2020,Z004,C03,16779.0753,4.5469,0.6612
3/4/2020,Z005,C04,10763.4673,3.7311,0.8133
3/15/2020,Z003,C03,5792.6999,3.3909,0.4436
3/15/2020,Z004,C03,8310.0634,3.5105,0.3287
3/15/2020,Z005,C04,4632.3956,2.9654,0.4949
5/16/2020,Z003,C03,5380.973,3.287,0.7155
5/16/2020,Z004,C03,10341.9748,4.5829,0.6626
5/16/2020,Z005,C04,5908.6977,3.7022,0.8447
6/6/2020,Z003,C03,13100.937,4.6402,0.5549
6/6/2020,Z004,C03,20526.0092,6.2166,0.6785
6/6/2020,Z005,C04,10741.7412,4.9698,0.8841
5/2/2020,Z003,C03,6082.88,3.6747,0.4611
5/2/2020,Z004,C03,9110.5216,4.4044,0.5013
5/2/2020,Z005,C04,4654.0263,3.3489,0.5804
5/25/2020,Z003,C03,7098.9815,4.0106,0.6209
5/25/2020,Z004,C03,13149.1087,5.223,0.6833
5/25/2020,Z005,C04,6246.9717,3.859,0.8319
5/26/2020,Z003,C03,11643.5006,4.2721,0.596
5/26/2020,Z004,C03,18836.6408,5.2769,0.5798
5/26/2020,Z005,C04,10253.6166,4.2096,0.7403
6/7/2020,Z003,C03,6139.2471,3.3154,0.3046
6/7/2020,Z004,C03,9685.425,4.1886,0.2146
6/7/2020,Z005,C04,5662.2443,4.0374,0.3539
3/25/2020,Z003,C03,5868.0262,3.4197,0.3609
3/25/2020,Z004,C03,6908.1737,3.6361,0.267
3/25/2020,Z005,C04,4076.9447,3.2769,0.3924
4/12/2020,Z003,C03,3925.2375,3.3712,0.316
4/12/2020,Z004,C03,5713.1651,3.6696,0.1763
4/12/2020,Z005,C04,3961.0239,3.5418,0.2402
4/28/2020,Z003,C03,15102.7552,6.0198,0.851
4/28/2020,Z004,C03,26445.0577,7.8428,1.3886
4/28/2020,Z005,C04,11200.3204,5.2446,1.3133
6/9/2020,Z003,C03,19851.81,6.1294,1.0114
6/9/2020,Z004,C03,23581.1282,6.4609,1.0379
6/9/2020,Z005,C04,10572.528,4.8471,1.0306
6/13/2020,Z003,C03,16099.4114,6.0827,0.9695
6/13/2020,Z004,C03,25543.8092,6.6661,1.2861
6/13/2020,Z005,C04,12067.1049,5.216,1.3798
3/22/2020,Z003,C03,3931.7173,3.091,0.3419
3/22/2020,Z004,C03,6759.551,3.6102,0.2304
3/22/2020,Z005,C04,3639.0765,3.1746,0.3707
5/14/2020,Z003,C03,13036.1622,5.204,0.7772
5/14/2020,Z004,C03,21322.3187,5.9776,0.9287
5/14/2020,Z005,C04,7136.4656,3.8466,0.9807
3/24/2020,Z003,C03,7562.4026,3.4329,0.3647
3/24/2020,Z004,C03,10107.96,3.7809,0.2636
3/24/2020,Z005,C04,5978.2305,3.2328,0.422
3/6/2020,Z003,C03,9709.3077,3.8137,0.5857
3/6/2020,Z004,C03,13480.0033,4.1977,0.6025
3/6/2020,Z005,C04,9108.8782,3.755,0.7062
5/29/2020,Z003,C03,20803.6821,6.5362,0.9914
5/29/2020,Z004,C03,23100.4778,6.8629,1.1662
5/29/2020,Z005,C04,9241.3514,4.3576,1.2951
6/17/2020,Z003,C03,17691.5971,5.6702,1.0233
6/17/2020,Z004,C03,26182.8633,7.149,1.3903
6/17/2020,Z005,C04,13054.8159,5.4522,1.3109
5/11/2020,Z003,C03,14949.0992,5.8321,0.7591
5/11/2020,Z004,C03,21894.0205,6.753,1.1169
5/11/2020,Z005,C04,8135.862,4.2279,1.1912
3/14/2020,Z003,C03,1758.1438,1.8144,0.2725
3/14/2020,Z004,C03,3069.1838,1.9762,0.1265
3/14/2020,Z005,C04,3160.3572,2.211,0.1903
4/16/2020,Z003,C03,3744.678,2.3941,0.3314
4/16/2020,Z004,C03,6664.3967,2.8466,0.1469
4/16/2020,Z005,C04,4925.9488,2.8078,0.2851
5/17/2020,Z003,C03,6171.8146,3.7648,0.5736
5/17/2020,Z004,C03,11144.8847,4.8712,0.638
5/17/2020,Z005,C04,4545.8237,3.3608,0.8598
3/16/2020,Z003,C03,9574.4666,4.0106,0.5456
3/16/2020,Z004,C03,11739.7946,3.8751,0.4788
3/16/2020,Z005,C04,7127.4738,3.5313,0.7091
4/9/2020,Z003,C03,3922.6181,3.1333,0.3617
4/9/2020,Z004,C03,6034.8712,3.4726,0.2503
4/9/2020,Z005,C04,4047.4271,3.2697,0.3516
3/10/2020,Z003,C03,13042.5884,4.443,0.655
3/10/2020,Z004,C03,17036.3707,4.6283,0.5742
3/10/2020,Z005,C04,7826.6408,3.8838,0.6836
3/17/2020,Z003,C03,17706.2,5.9298,0.9417
3/17/2020,Z004,C03,24054.1137,6.5692,1.144
3/17/2020,Z005,C04,11650.7857,5.2016,1.2261
4/21/2020,Z003,C03,12266.5123,5.4786,0.7289
4/21/2020,Z004,C03,18807.7341,6.3994,0.8969
4/21/2020,Z005,C04,10024.0262,4.9767,1.0475
6/3/2020,Z003,C03,23070.0851,7.8861,1.4753
6/3/2020,Z004,C03,31461.6614,8.8545,1.9784
6/3/2020,Z005,C04,10644.6344,5.0541,1.6421
6/14/2020,Z003,C03,16893.7019,5.5549,0.8642
6/14/2020,Z004,C03,24529.5664,6.4985,1.2989
6/14/2020,Z005,C04,13743.7142,5.6172,1.4471
3/26/2020,Z003,C03,6489.4172,3.5938,0.3524
3/26/2020,Z004,C03,8668.0081,3.7882,0.274
3/26/2020,Z005,C04,6294.8469,3.5026,0.4458
6/8/2020,Z003,C03,10900.9585,3.9218,0.5531
6/8/2020,Z004,C03,18271.6916,4.9987,0.5896
6/8/2020,Z005,C04,9583.7555,4.0101,0.6359
5/8/2020,Z003,C03,14376.6305,5.3682,0.7864
5/8/2020,Z004,C03,23070.2108,6.6813,1.0542
5/8/2020,Z005,C04,10468.1409,5.2582,1.2244
4/5/2020,Z003,C03,3958.055,3.2057,0.1459
4/5/2020,Z004,C03,4548.7094,3.4045,0.1731
4/5/2020,Z005,C04,3701.9585,2.9613,0.3236
3/2/2020,Z003,C03,9004.2738,3.7014,0.468
3/2/2020,Z004,C03,12034.1578,4.0234,0.498
3/2/2020,Z005,C04,9459.0238,3.5201,0.7068
5/24/2020,Z003,C03,10835.032,4.6076,0.7678
5/24/2020,Z004,C03,17797.7536,6.0386,0.8704
5/24/2020,Z005,C04,8328.1965,4.3626,1.1124
5/10/2020,Z003,C03,11213.1136,4.6653,0.5575
5/10/2020,Z004,C03,17173.9947,5.6319,0.6617
5/10/2020,Z005,C04,6758.8655,3.5759,0.9008
5/5/2020,Z003,C03,16216.9642,6.0462,0.8577
5/5/2020,Z004,C03,22474.2408,6.8043,1.0922
5/5/2020,Z005,C04,7636.8501,4.2789,1.1603
4/30/2020,Z003,C03,5868.2288,3.2996,0.4308
4/30/2020,Z004,C03,7634.6441,3.6475,0.3432
4/30/2020,Z005,C04,3886.8491,2.9663,0.4703
3/9/2020,Z003,C03,11131.4658,4.1567,0.5972
3/9/2020,Z004,C03,14537.5156,4.3866,0.6115
3/9/2020,Z005,C04,9721.7354,3.7811,0.7379
3/31/2020,Z003,C03,6366.0445,3.8043,0.4139
3/31/2020,Z004,C03,11122.7663,4.4582,0.3998
3/31/2020,Z005,C04,5539.9714,3.7968,0.5872
6/2/2020,Z003,C03,10873.4931,4.2329,0.426
6/2/2020,Z004,C03,16292.3887,5.2346,0.5923
6/2/2020,Z005,C04,7843.7463,3.9695,0.6638
4/25/2020,Z003,C03,10577.8108,5.4061,0.6652
4/25/2020,Z004,C03,14372.0437,6.1872,0.7649
4/25/2020,Z005,C04,6566.6654,4.252,0.8601
3/20/2020,Z003,C03,8014.4797,3.8224,0.5283
3/20/2020,Z004,C03,11201.9762,4.1941,0.4836
3/20/2020,Z005,C04,6934.0027,3.764,0.6509
4/22/2020,Z003,C03,14009.2032,6.0819,0.7249
4/22/2020,Z004,C03,17525.8652,6.3128,0.87
4/22/2020,Z005,C04,9235.8567,5.4496,1.0197
5/4/2020,Z003,C03,19697.6419,7.0727,1.0283
5/4/2020,Z004,C03,24083.462,7.2867,1.2276
5/4/2020,Z005,C04,12510.3341,6.0735,1.4627
5/13/2020,Z003,C03,9464.5771,3.3783,0.4566
5/13/2020,Z004,C03,12648.8366,3.8912,0.4479
5/13/2020,Z005,C04,6844.1656,3.3462,0.5224
4/1/2020,Z003,C03,9867.5678,4.7395,0.5962
4/1/2020,Z004,C03,15181.2249,5.4555,0.6096
4/1/2020,Z005,C04,7403.8587,4.4815,0.7685
4/6/2020,Z003,C03,6728.3546,3.9751,0.4551
4/6/2020,Z004,C03,8388.4082,4.2547,0.3013
4/6/2020,Z005,C04,6177.1886,3.9186,0.6036
4/26/2020,Z003,C03,8402.6165,4.5812,0.5681
4/26/2020,Z004,C03,11982.2632,5.7051,0.6021
4/26/2020,Z005,C04,6895.2216,4.7045,0.8148
3/11/2020,Z003,C03,4561.2759,1.9882,0.2868
3/11/2020,Z004,C03,6128.4156,2.0396,0.151
3/11/2020,Z005,C04,5538.4832,2.3609,0.2506
3/1/2020,Z003,C03,6655.5337,3.5207,0.4123
3/1/2020,Z004,C03,10464.4147,3.6871,0.415
3/1/2020,Z005,C04,6363.6274,2.9447,0.5859
4/15/2020,Z003,C03,4826.6999,2.8603,0.1579
4/15/2020,Z004,C03,7020.0784,3.0253,0.1824
4/15/2020,Z005,C04,5501.588,3.0099,0.3538
4/17/2020,Z003,C03,4469.7368,2.9982,0.1199
4/17/2020,Z004,C03,6783.9684,3.1749,0.2459
4/17/2020,Z005,C04,4799.6182,3.2999,0.3495
4/20/2020,Z003,C03,4695.7271,2.7526,0.4302
4/20/2020,Z004,C03,7145.83,3.4709,0.2381
4/20/2020,Z005,C04,4703.2159,3.3456,0.4088
5/1/2020,Z003,C03,8746.8476,4.3246,0.5331
5/1/2020,Z004,C03,11495.9923,4.5573,0.619
5/1/2020,Z005,C04,6249.7132,3.6691,0.6702
3/3/2020,Z003,C03,10074.0764,3.7931,0.5907
3/3/2020,Z004,C03,14408.5652,4.0617,0.5826
3/3/2020,Z005,C04,11870.4215,3.2548,0.761
6/10/2020,Z003,C03,15420.2569,5.1017,0.5827
6/10/2020,Z004,C03,19283.5012,5.5171,0.7695
6/10/2020,Z005,C04,9464.5062,4.2896,0.8418
4/3/2020,Z003,C03,6414.1378,3.6213,0.4219
4/3/2020,Z004,C03,9769.5737,4.1846,0.3524
4/3/2020,Z005,C04,6020.1215,3.3554,0.5034
4/10/2020,Z003,C03,5200.4626,3.1939,0.3801
4/10/2020,Z004,C03,7598.5668,3.5086,0.3248
4/10/2020,Z005,C04,4943.5012,3.4977,0.4722
5/31/2020,Z003,C03,4433.3862,3.2125,0.3003
5/31/2020,Z004,C03,7045.2577,3.6045,0.2753
5/31/2020,Z005,C04,3998.2348,3.1883,0.3912
4/27/2020,Z003,C03,15926.9136,6.2819,1.0043
4/27/2020,Z004,C03,23429.1787,7.393,1.2576
4/27/2020,Z005,C04,14129.783,6.5719,1.6368
5/28/2020,Z003,C03,24249.3739,7.3965,1.052
5/28/2020,Z004,C03,29471.0401,7.4581,1.4642
5/28/2020,Z005,C04,13279.7523,5.2038,1.5775
3/21/2020,Z003,C03,5448.4084,3.7582,0.3949
3/21/2020,Z004,C03,9240.5373,4.2774,0.3011
3/21/2020,Z005,C04,5463.9847,3.4298,0.474
3/19/2020,Z003,C03,9240.6559,4.3135,0.5286
3/19/2020,Z004,C03,11183.1911,4.5371,0.4258
3/19/2020,Z005,C04,7947.0351,4.3665,0.7497
5/12/2020,Z003,C03,7633.9062,3.9855,0.5383
