COVID_19_Inpatient_Admissions,Date,hospital_name
12,6/22/2020,H01
0,4/20/2020,H01
1,4/30/2020,H01
5,4/25/2020,H01
1,5/1/2020,H01
0,4/26/2020,H01
0,4/30/2020,H02
2,4/18/2020,H01
3,5/4/2020,H03
2,5/5/2020,H03
8,5/6/2020,H03
2,4/22/2020,H01
2,4/23/2020,H01
3,4/24/2020,H01
2,4/27/2020,H01
2,3/27/2020,H01
4,3/28/2020,H01
2,3/29/2020,H01
1,3/30/2020,H01
3,3/31/2020,H01
1,4/1/2020,H01
2,4/2/2020,H01
2,4/3/2020,H01
3,4/4/2020,H01
1,4/5/2020,H01
0,4/6/2020,H01
2,4/7/2020,H01
1,4/8/2020,H01
0,4/9/2020,H01
2,4/10/2020,H01
1,4/11/2020,H01
2,4/12/2020,H01
2,4/13/2020,H01
3,4/14/2020,H01
2,4/15/2020,H01
1,4/16/2020,H01
2,4/17/2020,H01
0,3/27/2020,H04
0,3/28/2020,H04
1,3/29/2020,H04
0,3/30/2020,H04
0,3/31/2020,H04
0,4/1/2020,H04
0,4/2/2020,H04
0,4/3/2020,H04
0,4/4/2020,H04
0,4/5/2020,H04
0,4/6/2020,H04
0,4/7/2020,H04
0,4/8/2020,H04
0,4/9/2020,H04
0,4/10/2020,H04
0,4/11/2020,H04
0,4/12/2020,H04
1,4/13/2020,H04
0,4/14/2020,H04
0,4/15/2020,H04
0,4/16/2020,H04
0,4/17/2020,H04
0,4/18/2020,H04
0,4/19/2020,H04
0,4/20/2020,H04
0,4/21/2020,H04
0,4/22/2020,H04
0,4/23/2020,H04
0,4/24/2020,H04
0,4/25/2020,H04
0,4/26/2020,H04
0,4/27/2020,H04
0,4/28/2020,H04
0,4/29/2020,H04
,3/27/2020,H05
,3/28/2020,H05
,3/29/2020,H05
,3/30/2020,H05
,3/31/2020,H05
,4/1/2020,H05
,4/2/2020,H05
,4/3/2020,H05
,4/4/2020,H05
,4/5/2020,H05
0,4/6/2020,H05
0,4/7/2020,H05
0,4/8/2020,H05
0,4/9/2020,H05
0,4/10/2020,H05
1,4/11/2020,H05
0,4/12/2020,H05
1,4/13/2020,H05
1,4/14/2020,H05
1,4/15/2020,H05
0,4/16/2020,H05
0,4/17/2020,H05
3,4/18/2020,H05
27,4/19/2020,H05
4,4/20/2020,H05
0,4/21/2020,H05
4,4/22/2020,H05
0,4/23/2020,H05
1,4/24/2020,H05
1,4/25/2020,H05
1,4/26/2020,H05
0,4/27/2020,H05
0,4/28/2020,H05
12,4/29/2020,H05
,3/27/2020,H06
,3/28/2020,H06
,3/29/2020,H06
,3/30/2020,H06
,3/31/2020,H06
,4/1/2020,H06
,4/2/2020,H06
1,4/3/2020,H06
,4/4/2020,H06
,4/5/2020,H06
,4/6/2020,H06
,4/7/2020,H06
,4/8/2020,H06
,4/9/2020,H06
,4/10/2020,H06
,4/11/2020,H06
,4/12/2020,H06
1,4/13/2020,H06
1,4/14/2020,H06
,4/15/2020,H06
,4/16/2020,H06
1,4/17/2020,H06
,4/18/2020,H06
,4/19/2020,H06
,4/20/2020,H06
,4/21/2020,H06
,4/22/2020,H06
,4/23/2020,H06
,4/24/2020,H06
,4/25/2020,H06
,4/26/2020,H06
,4/27/2020,H06
,4/28/2020,H06
,4/29/2020,H06
1,3/27/2020,H07
,3/28/2020,H07
,3/29/2020,H07
1,3/30/2020,H07
1,3/31/2020,H07
,4/1/2020,H07
2,4/2/2020,H07
1,4/3/2020,H07
,4/4/2020,H07
,4/5/2020,H07
2,4/6/2020,H07
1,4/7/2020,H07
,4/8/2020,H07
2,4/9/2020,H07
,4/10/2020,H07
,4/11/2020,H07
,4/12/2020,H07
,4/13/2020,H07
