,0,1,2,3,4
0,50.07477,8.05145,49.02782,52.72873,6.03859
1,50.06247,8.04947,49.01578,52.71578,6.0371
2,55.4005,8.90777,54.2422,58.33672,6.68082
3,56.93277,9.15414,55.74243,59.9502,6.8656
4,55.0352,8.84903,53.88453,57.95206,6.63677
5,55.89086,8.98661,54.7223,58.85307,6.73996
6,62.02925,9.97359,60.73235,65.31679,7.48019
7,72.41242,55.22983,70.89844,76.25027,8.73232
8,81.17368,61.91216,79.47652,85.47588,9.78885
9,83.36259,63.58166,81.61966,87.78079,45.27916
10,49.83772,8.01333,48.79572,52.47912,6.01
11,7.77198,6.21758,7.77198,7.77198,4.66319
12,8.19556,6.55645,8.19556,8.19556,4.91734
13,51.2489,8.24024,50.1774,53.96509,6.18018
14,62.87955,47.959,61.56488,66.21216,7.58273
15,69.92702,53.33419,68.465,73.63314,8.4326
16,69.35244,52.89595,67.90243,73.02811,8.36331
17,66.28973,50.55998,64.90376,69.80308,7.99397
18,67.23429,51.28041,65.82857,70.7977,8.10788
19,74.4223,56.76279,72.86629,78.36667,8.97469
20,54.1162,8.70126,52.98475,56.98436,6.52595
21,52.23296,8.39846,51.14088,55.0013,6.29885
22,51.15528,8.22518,50.08573,53.8665,6.16889
23,9.82825,7.8626,9.82825,9.82825,5.89695
24,49.96316,8.0335,48.91854,52.6112,6.02513
25,58.31815,9.37689,57.09884,61.409,7.03267
26,69.72423,53.17952,68.26645,73.4196,8.40814
27,78.30036,59.72064,76.66327,82.45027,9.44235
28,79.84124,60.89589,78.17194,84.07282,9.62817
29,76.0348,57.99267,74.44508,80.06464,9.16914
30,8.69298,6.95438,8.69298,8.69298,5.21579
31,7.81437,6.2515,7.81437,7.81437,4.68862
32,9.56506,7.65205,9.56506,9.56506,5.73904
33,58.40113,9.39023,57.18009,61.49639,7.04267
34,63.79436,48.65674,62.46056,67.17546,7.69305
35,63.76334,48.63307,62.43018,67.14279,7.68931
36,61.77712,9.93305,60.4855,65.0513,7.44979
37,64.26749,49.0176,62.9238,67.67366,7.75011
38,72.62437,55.39149,71.10595,76.47345,8.75787
39,82.26908,62.74763,80.54901,86.62933,9.92094
40,57.20539,9.19797,56.00935,60.23727,6.89848
41,9.59191,7.67353,9.59191,9.59191,5.75515
42,8.68139,6.94511,8.68139,8.68139,5.20884
